feature,feat_class,pred_class,x,y,fdr_pval_byclass,resp_class,error_type
FT1496,Bad,Bad,-0.052121212121212124,0.010303030303030258,0.9713374095862983,All equal,Bad peak avoided
FT1497,Bad,Bad,-0.08181818181818179,-0.01545454545454561,0.9126758464291976,All equal,Bad peak avoided
FT1498,Bad,Bad,-0.08606060606060606,0.003030303030303161,0.9126758464291976,All equal,Bad peak avoided
FT1499,Bad,Bad,-0.13515151515151513,-0.042727272727272725,0.7799981088215006,All equal,Bad peak avoided
FT1500,Bad,Bad,-0.1466666666666666,-0.049090909090909074,0.6945912001553276,All equal,Bad peak avoided
FT1501,Bad,Bad,-0.12545454545454549,-0.005454545454545379,0.8568722947591318,All equal,Bad peak avoided
FT1502,Bad,Bad,-0.1106060606060606,-0.03348484848484867,0.8568722947591318,All equal,Bad peak avoided
FT1504,Bad,Bad,-0.08969696969696972,0.032727272727272716,0.8812464211570203,All equal,Bad peak avoided
FT1505,Bad,Bad,-0.12424242424242427,-0.006363636363636349,0.8568722947591318,All equal,Bad peak avoided
FT1506,Bad,Bad,-0.12484848484848488,-0.032727272727272716,0.8451082487079455,All equal,Bad peak avoided
FT1509,Bad,Bad,-0.06909090909090909,6.060606060604989e-4,0.9499194929590716,All equal,Bad peak avoided
FT1510,Bad,Bad,-0.14909090909090905,-0.037575757575757596,0.7064874148404062,All equal,Bad peak avoided
FT1511,Bad,Bad,-0.00666666666666671,-0.026363636363636367,0.9941730824496712,All equal,Bad peak avoided
FT1512,Bad,Bad,-0.056363636363636394,-0.024545454545454426,0.9627281000918934,All equal,Bad peak avoided
FT1513,Bad,Bad,-0.047878787878787854,-0.025757575757575868,0.9668498840540884,All equal,Bad peak avoided
FT1514,Bad,Bad,-0.12121212121212122,-0.036363636363636376,0.8539040152426663,All equal,Bad peak avoided
FT1515,Bad,Bad,-0.034545454545454546,-0.00454545454545463,0.9914008451586125,All equal,Bad peak avoided
FT1516,Bad,Bad,-0.036969696969696986,-0.030606060606060526,0.979281160751226,All equal,Bad peak avoided
FT1517,Bad,Bad,-0.055151515151515174,-0.05545454545454542,0.9126758464291976,All equal,Bad peak avoided
FT1518,Bad,Bad,-0.0636363636363636,0.007575757575757569,0.9603396268564003,All equal,Bad peak avoided
FT1520,Bad,Bad,0.017575757575757578,0.09242424242424252,0.8674524610357536,All equal,Bad peak avoided
FT1521,Bad,Bad,0.0072727272727273196,0.06181818181818177,0.9455707347548751,All equal,Bad peak avoided
FT1522,Bad,Good,-0.17454545454545456,-0.045454545454545414,0.10643127368482842,Hard to tell,Bad peak included
FT1524,Bad,Bad,-0.07787878787878788,0.0337878787878787,0.9126758464291976,All equal,Bad peak avoided
FT1525,Bad,Bad,-0.06606060606060604,0.02181818181818196,0.9455707347548751,All equal,Bad peak avoided
FT1526,Bad,Bad,-0.028484848484848446,0.026969696969697088,0.9914008451586125,All equal,Bad peak avoided
FT1527,Bad,Bad,-0.052727272727272734,0.07787878787878788,0.8674524610357536,All equal,Bad peak avoided
FT1528,Bad,Bad,-0.06454545454545457,0.08530303030303044,0.8568722947591318,All equal,Bad peak avoided
FT1529,Bad,Bad,0.024242424242424176,0.06303030303030299,0.9283829551453834,All equal,Bad peak avoided
FT1530,Bad,Bad,0.012727272727272698,0.023636363636363678,0.9941730824496712,All equal,Bad peak avoided
FT1531,Bad,Bad,-0.0060606060606061,-0.11212121212121229,0.8451082487079455,All equal,Bad peak avoided
FT1532,Bad,Bad,-0.08393939393939398,-0.02469696969696966,0.9111365485677579,All equal,Bad peak avoided
FT1533,Bad,Bad,-0.027575757575757587,0.05227272727272725,0.9542126988846561,All equal,Bad peak avoided
FT1535,Bad,Bad,0.021818181818181737,0.06727272727272737,0.9162140654182593,All equal,Bad peak avoided
FT1536,Bad,Bad,-0.22363636363636363,-0.043939393939393945,0.157935424868232,DCM < 15m = 175m,Bad peak avoided
FT1537,Bad,Bad,-0.12363636363636366,0.020000000000000018,0.8568722947591318,All equal,Bad peak avoided
FT1538,Bad,Bad,-0.014545454545454528,0.016969696969696857,0.9941730824496712,All equal,Bad peak avoided
FT1539,Bad,Bad,-0.050909090909090904,-0.06787878787878787,0.8958950886703353,All equal,Bad peak avoided
FT1540,Bad,Bad,-0.08666666666666667,0.030606060606060748,0.8958950886703353,All equal,Bad peak avoided
FT1541,Bad,Bad,-0.030303030303030276,-0.08060606060606057,0.8797015693359166,All equal,Bad peak avoided
FT1543,Good,Good,0.5472727272727274,-0.1481818181818182,4.010383867854997e-11,DCM > 175m > 15m,Good peak found
FT1547,Bad,Bad,-0.056363636363636394,-0.1166666666666667,0.7721537899879951,All equal,Bad peak avoided
FT1548,Bad,Bad,-0.00242424242424244,-0.07333333333333325,0.9126758464291976,All equal,Bad peak avoided
FT1549,Bad,Bad,0.020000000000000018,-0.034242424242424185,0.9884830418324115,All equal,Bad peak avoided
FT1550,Good,Bad,-0.16242424242424247,-0.12909090909090915,0.20458217420643882,Hard to tell,Good peak missed
