"feature","med_missed_scans"
"FT1580",14
"FT1581",6
"FT1582",17
"FT1583",3
"FT1584",18
"FT1585",13
"FT1586",2
"FT1587",14
"FT1588",16
"FT1589",1
"FT1590",2
"FT1591",0
"FT1592",2
"FT1593",0
"FT1594",0
"FT1595",21
"FT1596",9.5
"FT1597",15
"FT1598",11
"FT1599",7
"FT1600",5
"FT1601",2.5
"FT1602",22.5
"FT1603",3
"FT1604",5
"FT1605",1
"FT1606",2
"FT1607",11
"FT1608",2.5
"FT1609",24
"FT1610",6
"FT1611",4
"FT1612",27
"FT1613",2
"FT1614",7
"FT1615",7
"FT1616",8.5
"FT1617",11
"FT1618",9
"FT1619",19
"FT1620",13
"FT1621",36
"FT1622",21
"FT1623",2
"FT1624",1
"FT1625",2
"FT1626",0
"FT1627",3
"FT1628",0
"FT1629",5
"FT1630",13
"FT1631",5
"FT1632",0
"FT1633",2
"FT1634",6
"FT1635",-6
"FT1636",0
"FT1637",1
"FT1638",4
"FT1639",0
"FT1640",0
"FT1641",1
"FT1642",1
"FT1643",3
"FT1644",-1
"FT1645",0
"FT1646",-1
"FT1647",1
"FT1648",-2
"FT1649",0
"FT1650",0
"FT1651",1
"FT1652",3
"FT1653",0
"FT1654",7.5
"FT1655",11
"FT1656",8
"FT1657",0
"FT1658",1
"FT1659",0
"FT1660",2
"FT1661",1
"FT1662",0
"FT1663",0
"FT1664",1.5
"FT1665",15.5
"FT1666",9
"FT1667",10
"FT1668",24
"FT1669",8
"FT1670",14
"FT1671",8.5
"FT1672",11
"FT1673",20
"FT1674",12
"FT1675",17
"FT1676",1
"FT1677",5
"FT1678",1
"FT1679",11
"FT1680",11
"FT1681",50
"FT1682",6.5
"FT1683",15
"FT1684",13
"FT1685",7.5
"FT1686",3
"FT1687",34.5
"FT1688",11
"FT1689",3
"FT1690",8.5
"FT1691",18
